Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Break Free,Pop Party 13,Ariana Grande,01-01-2014,USUM71409719,"2,610",27.6,899830382.00,96199.00,41829450.00,70.00,1288704058.00,6983846.00,131095.00,50779178.00,371404445.00,171606029.00,123.00,86551.00,204.00,65.00,813444.00,22.00,240308987.00,115959.00,,7374291.00,,0
Risk,Risk,Gracie Abrams,05-01-2024,USUG12401764,"2,617",27.6,41114784.00,2686.00,35162711.00,78.00,3726904.00,134081.00,,,,,41.00,5382.00,4.00,36.00,7998062.00,78.00,65016.00,138.00,,61468.00,,0
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,11/27/2020,UYB282001011,"2,615",27.6,286381494.00,54422.00,8157305.00,61.00,445932496.00,5316366.00,517875.00,137985248.00,1257208158.00,19505413.00,37.00,3999.00,52.00,19.00,73121.00,8.00,221741.00,747.00,,1435096.00,,0
WY@,WY@,Brent Faiyaz,9/19/2023,QZNMX2317490,"2,609",27.6,54763093.00,15316.00,7846247.00,,14737929.00,247838.00,6009.00,10284542.00,72141490.00,1678363681.00,16.00,66225.00,29.00,1.00,644.00,8.00,4730630.00,1648.00,,536845.00,,1
Acapulco,Acapulco,Jason Derulo,09-03-2021,USAT22102812,"2,608",27.6,442260324.00,67318.00,33339871.00,65.00,83588626.00,799248.00,42377.00,35703303.00,310298540.00,865166511.00,65.00,129690.00,160.00,34.00,1756415.00,18.00,47696206.00,7006.00,1797110.00,,,0
GHOST TOWN,GHOST TOWN,Benson Boone,10/15/2021,USWB12103472,"2,612",27.6,382177076.00,65369.00,34887197.00,66.00,78537068.00,806081.00,146179.00,60677641.00,629205287.00,968287446.00,46.00,105931.00,115.00,22.00,651078.00,14.00,27159277.00,7396.00,,1864419.00,,0
Bande organisï¿½,Bande organisï¿½,13 Organisï¿,8/15/2020,FRX282066018,"2,625",27.5,267241905.00,62950.00,4938947.00,63.00,515808378.00,2686256.00,5066.00,641873.00,12209681.00,11896873.00,51.00,17239.00,,42.00,6246257.00,10.00,,,,2065953.00,,1
Only Human,Happiness Begins,Jonas Brothers,06-07-2019,USUG11901281,"2,634",27.5,508463163.00,58919.00,15436258.00,65.00,136979542.00,1457926.00,27246.00,6682986.00,45970559.00,168192621.00,66.00,350184.00,362.00,24.00,166715.00,17.00,181852656.00,50826.00,,7575291.00,,0
Daddy Issues,Wiped Out!,The Neighbourhood,10/30/2015,USSM11506747,"2,627",27.5,1435372572.00,239555.00,84147867.00,80.00,450121249.00,5511534.00,252108.00,196480803.00,1122697302.00,8013039.00,47.00,81.00,,24.00,84882.00,3.00,32313966.00,41491.00,,3422693.00,,0
Cha Cha Cha,Cha Cha Cha,Kï¿½ï¿½ï¿½,1/17/2023,FIWMA2200519,"2,624",27.5,143311775.00,42463.00,3803730.00,66.00,85239745.00,891585.00,78568.00,18889271.00,304146444.00,11041200.00,29.00,8321.00,,6.00,58900.00,7.00,20792.00,1989.00,,281032.00,,0
Raining In Manila,Raining In Manila,Lola Amour,6/14/2023,PHW012300171,"2,633",27.5,136169854.00,11506.00,4813121.00,63.00,117339013.00,473732.00,279014.00,57862276.00,567845644.00,46522818.00,4.00,1084.00,,,,,,,,28884.00,,0
Diabï¿½ï¿½,Diabï¿½ï¿½,Cris Mj,11-08-2023,QMFME2394856,"2,628",27.5,83966111.00,12847.00,42315256.00,73.00,51878795.00,239672.00,,2323.00,21053.00,146683266.00,8.00,10.00,,8.00,1878242.00,8.00,4824.00,30.00,,313530.00,,1
HE KNOWS (feat. Lil Nas X),HE KNOWS (feat. Lil Nas X),Camila Cabello,05-10-2024,USUG12402116,"2,632",27.5,14234598.00,1591.00,38201815.00,,6333352.00,231932.00,,,,134773880.00,31.00,6010.00,22.00,44.00,4764407.00,66.00,250375.00,112.00,,35203.00,,1
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Feels,Calvin Harris,6/16/2017,GBARL1700772,"2,626",27.5,1120187276.00,153725.00,45935052.00,70.00,80920611.00,707090.00,1758196.00,369847461.00,2745676769.00,402464.00,236.00,32897.00,2.00,148.00,1143603.00,36.00,80533361.00,75735.00,1692679.00,13710879.00,,1
Everybody make some Tik Tok,Everybody make some some Tik Tok,Bounce Oï¿½ï¿½ï¿,5/22/2019,ITV951900027,"2,621",27.5,532262.00,481.00,35220.00,13.00,,,8288070.00,108201976.00,2218181933.00,,,15.00,,,,,,,,11057.00,,0
Another Love (Tiï¿½ï¿½sto Re,Another Love (Tiï¿½ï¿½sto Re,Tom Odell,5/13/2022,GBARL2201039,"2,620",27.5,141141890.00,32658.00,32977028.00,67.00,26048435.00,224730.00,1662320.00,900971288.00,8556410580.00,,20.00,37145.00,,23.00,557055.00,,172209.00,366.00,,770960.00,,0
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",His & Hers,Internet Money,5/13/2021,QZJ842000873,"2,631",27.5,224820131.00,81921.00,11821621.00,,49154791.00,830423.00,1713669.00,151684690.00,1272691476.00,19446900.00,66.00,294.00,,11.00,40645.00,,4052813.00,5397.00,,993226.00,,1
Tu Aake Dekhle,The Carnival,King,9/21/2020,FRX762050882,"2,629",27.5,410639967.00,33664.00,5963459.00,69.00,619113386.00,7584160.00,132004.00,4491970.00,61728216.00,,9.00,508.00,,1.00,1097.00,6.00,1824.00,,,475672.00,,0
Red Leather,WE STILL DON'T TRUST YOU,Future,04-12-2024,USSM12403108,"2,630",27.5,22715763.00,6606.00,6526571.00,,3791463.00,74013.00,,,,381728.00,4.00,111.00,,9.00,1201097.00,14.00,305314.00,512.00,,155058.00,,1
Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,9/21/2005,GBAYE0800265,"2,619",27.5,2102223775.00,335772.00,128128093.00,80.00,1412127488.00,8707376.00,1619542.00,244469571.00,2264301241.00,1233854544.00,93.00,258525.00,208.00,174.00,4371982.00,94.00,,,,54637.00,,0
Nice to Meet You,Nice to Meet You,Imagine Dragons,5/24/2024,USUM72404007,"2,623",27.5,15062636.00,1446.00,39911356.00,75.00,4507011.00,112133.00,1034.00,570876.00,6372350.00,112054624.00,40.00,258.00,,29.00,894139.00,29.00,1020471.00,224.00,,27497.00,,0
Verte Ir,Verte Ir,DJ Luian,3/28/2019,QZ7B81700011,"2,622",27.5,550967367.00,65928.00,18945081.00,64.00,728468384.00,3473098.00,11200.00,1930550.00,20847094.00,137102567.00,35.00,3884.00,17.00,7.00,293349.00,12.00,73700065.00,8531.00,,1353531.00,,0
Pink + White,Blonde,Frank Ocean,8/20/2016,QZ5C81600003,"2,642",27.4,1299650856.00,228950.00,71708447.00,83.00,158016588.00,1286636.00,130802.00,68303456.00,442090971.00,455453.00,163.00,6091.00,221.00,46.00,1275701.00,41.00,24819579.00,19292.00,9043608.00,2187716.00,,0
Mother,Takin' It Back (Deluxe),Meghan Trainor,03-04-2023,USSM12300425,"2,640",27.4,79738242.00,12390.00,2274976.00,57.00,51124809.00,845191.00,702284.00,224708419.00,2678819017.00,431870420.00,15.00,54053.00,1088.00,4.00,7837.00,7.00,8318506.00,13444.00,,538792.00,,1
