Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936.00,30716.00,196631588.00,92.00,84274754.00,1713126.00,5767700.00,651565900.00,5332281936.00,150597040.00,210.00,40975.00,684.00,62.00,17598718.00,114.00,18004655.00,22931.00,4818457.00,2669262.00,,0
Not Like Us,Not Like Us,Kendrick Lamar,05-04-2024,USUG12400910,2,545.9,323703884.00,28113.00,174597137.00,92.00,116347040.00,3486739.00,674700.00,35223547.00,208339025.00,156380351.00,188.00,40778.00,3.00,67.00,10422430.00,111.00,7780028.00,28444.00,6623075.00,1118279.00,,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283.00,54331.00,211607669.00,92.00,122599116.00,2228730.00,3025400.00,275154237.00,3369120610.00,373784955.00,190.00,74333.00,536.00,136.00,36321847.00,172.00,5022621.00,5639.00,7208651.00,5285340.00,,0
Flowers,Flowers - Single,Miley Cyrus,01-12-2023,USSM12209777,4,444.9,2031280633.00,269802.00,136569078.00,85.00,1096100899.00,10629796.00,7189811.00,1078757968.00,14603725994.00,3351188582.00,394.00,1474799.00,2182.00,264.00,24684248.00,210.00,190260277.00,203384.00,,11822942.00,,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,107034922.00,7223.00,151469874.00,88.00,77373957.00,3670188.00,16400.00,,,112763851.00,182.00,12185.00,1.00,82.00,17660624.00,105.00,4493884.00,7006.00,207179.00,457017.00,,1
Lovin On Me,Lovin On Me,Jack Harlow,11-10-2023,USAT22311371,6,410.1,670665438.00,105892.00,175421034.00,83.00,131148091.00,1392593.00,4202367.00,214943489.00,2938686633.00,2867222632.00,138.00,522042.00,4654.00,86.00,17167254.00,152.00,138529362.00,50982.00,9438601.00,4517131.00,,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751.00,73118.00,201585714.00,86.00,308723145.00,4120760.00,,29584940.00,534915313.00,4601579812.00,280.00,383478.00,429.00,168.00,48197850.00,154.00,65447476.00,57372.00,,9990302.00,,0
Gata Only,Gata Only,FloyyMenor,02-02-2024,QZL382406049,8,375.8,675079153.00,40094.00,211236940.00,92.00,228382568.00,1439495.00,3500000.00,338546668.00,3804584163.00,2112581620.00,160.00,17221.00,30.00,87.00,33245595.00,53.00,3372428.00,5762.00,,6063523.00,,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,06-09-2024,TCJPA2463708,9,355.7,1653018119.00,1.00,15.00,,,,,,,,,,,,,,,,,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,90676573.00,10400.00,184199419.00,86.00,32735244.00,988682.00,325800.00,121574500.00,974656200.00,174706874.00,191.00,3823.00,117.00,78.00,10800098.00,92.00,1005626.00,842.00,3679709.00,666302.00,,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,05-10-2024,USUM72404990,11,322.1,250080413.00,16219.00,168766158.00,91.00,32229063.00,550191.00,,184500.00,2100000.00,327130768.00,157.00,62312.00,71.00,60.00,12009073.00,114.00,23155471.00,21172.00,1594605.00,963413.00,,1
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,111155129.00,2.00,263767.00,,,,,,,,,,,,,2.00,,,,,,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,221636195.00,13800.00,197280692.00,92.00,40022524.00,1307290.00,195300.00,45889000.00,360017000.00,342107131.00,244.00,41344.00,45.00,138.00,38243636.00,163.00,1354692.00,1219.00,1313357.00,450344.00,,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,355186436.00,43025.00,108168634.00,88.00,98081493.00,1456177.00,,,,174491415.00,153.00,90237.00,3.00,55.00,3001826.00,109.00,26252264.00,18364.00,12038034.00,1963314.00,,1
bathroom floor,bathroom floor,Kids With Buns,10-07-2022,NLC242100307,15,301.6,297185.00,277.00,24445.00,12.00,6736502312.00,16785489.00,3.00,1088.00,22234.00,,1.00,1057.00,,,,,,,,3288.00,,0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,925655569.00,103605.00,79944921.00,79.00,934302031.00,4294166.00,11054500.00,521725116.00,7499234052.00,2042145659.00,94.00,92231.00,228.00,60.00,5633435.00,83.00,12171026.00,13242.00,871978.00,2765808.00,,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,395433400.00,12784.00,177932568.00,89.00,104673836.00,2484083.00,139300.00,25348800.00,207317000.00,268893710.00,221.00,129968.00,3.00,99.00,37988531.00,134.00,9961769.00,13437.00,377734.00,1210029.00,,0
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1258569694.00,105218.00,198845580.00,87.00,141646818.00,1514837.00,2294429.00,419319161.00,5456156211.00,2667285437.00,207.00,667329.00,3310.00,188.00,21788568.00,150.00,44850379.00,12270.00,,6973652.00,,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,91272461.00,6499.00,52287548.00,86.00,16038053.00,569377.00,941900.00,119740900.00,1225345800.00,5839168.00,76.00,181.00,1.00,24.00,5054005.00,33.00,283089.00,162.00,975891.00,257661.00,,0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292,3301814535.00,407119.00,169783402.00,87.00,800899315.00,9101589.00,2755903.00,1633970617.00,15405881843.00,7289707052.00,455.00,1777811.00,4909.00,330.00,12907852.00,189.00,132624772.00,79909.00,,14967379.00,,0
Paint The Town Red,Paint The Town Red,Doja Cat,08-04-2023,USRC12300907,21,290.5,1065399331.00,170890.00,121712197.00,78.00,240970670.00,2749668.00,3091732.00,652428798.00,7095564106.00,1063591802.00,158.00,400899.00,273.00,143.00,13718632.00,146.00,70291476.00,49111.00,,7559816.00,,1
Espresso,Espresso,Sabrina Carpenter,04-12-2024,USUM72403305,22,281.5,547882871.00,24425.00,262343414.00,95.00,107550212.00,1825761.00,209200.00,169144295.00,1379499000.00,422646034.00,298.00,37208.00,236.00,167.00,41414565.00,149.00,10362898.00,10848.00,1551157.00,1373085.00,,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279,1655575417.00,10.00,655.00,,,,,,,,,,,,,,,,,,,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,02-10-2024,USSM12401302,24,278.9,426700979.00,34044.00,152928632.00,86.00,35724356.00,437980.00,1470500.00,485200392.00,6518604175.00,1213175656.00,159.00,309497.00,257.00,194.00,40725482.00,177.00,13860535.00,36282.00,,2100708.00,,1
Future,Future,official sound studio,01-10-2024,RUA1H2415548,25,277.5,,1.00,2.00,,,,9453333.00,273236305.00,4306269694.00,,,,,,,,,,,,,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,7382759.00,3504.00,661084.00,35.00,4233958.00,69990.00,37621885.00,1636811753.00,22918660728.00,,1.00,,439.00,1.00,6.00,1.00,,,,633525.00,,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,07-09-2021,USSM12103949,27,266.3,3107100349.00,451732.00,134793519.00,78.00,1256973582.00,14661425.00,7485966.00,2246991336.00,23712377029.00,4327058646.00,513.00,1510151.00,4096.00,166.00,5783693.00,128.00,196783487.00,124922.00,36341585.00,,,1
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12-01-2015,KRE671700001,28,265.7,720822868.00,60945.00,7530769.00,71.00,16322756555.00,48757673.00,7743800.00,281762094.00,6577639193.00,2166611.00,33.00,284.00,142.00,19.00,52179.00,17.00,86458847.00,2234137.00,,2064420.00,,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,03-08-2024,USUM72317276,29,262.8,591068364.00,26203.00,197494995.00,87.00,156882014.00,3080503.00,,,,578568464.00,194.00,200230.00,32.00,117.00,22062193.00,126.00,10106573.00,7689.00,1612479.00,1579980.00,,0
Numb / Encore,Papercuts,JAY-Z,04-12-2024,USWB12400678,30,256,1003215671.00,128.00,485454.00,,,,,,,,,,,,,,179867721.00,87209.00,,4474248.00,,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,1645079292.00,,,,,,,,,,,,,,,,,,,,,1
SHEESH,BABYMONS7ER,BABYMONSTER,04-01-2024,KRA402400016,32,237.5,124893397.00,3479.00,25936342.00,82.00,359896095.00,4907193.00,212500.00,48327004.00,390081328.00,38798822.00,36.00,2188.00,32.00,3.00,347997.00,26.00,130743.00,592.00,265670.00,191867.00,,0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179.00,98450.00,150471020.00,83.00,265180930.00,2566846.00,2114363.00,369150956.00,3932956380.00,3031114430.00,225.00,486952.00,1215.00,180.00,19469488.00,188.00,40418532.00,27555.00,6049784.00,6447136.00,,0
Strangers,Strangers,Kenya Grace,09-01-2023,USWB12305048,34,233.5,750154960.00,139141.00,103879363.00,79.00,118208096.00,1495758.00,1031447.00,196985853.00,2231749390.00,1745168821.00,163.00,378114.00,856.00,113.00,16295286.00,112.00,20228317.00,5331.00,10938075.00,7477917.00,,0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,532012790.00,23557.00,67488850.00,,62123098.00,923733.00,,,,384716227.00,221.00,151990.00,64.00,42.00,658517.00,47.00,31032977.00,23005.00,1516649.00,,,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230,479417905.00,7.00,1519.00,,,,,,,,,,,,,1.00,121250721.00,83632.00,,3692067.00,,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,04-12-2024,USUYG1541249,37,226.4,311928522.00,25766.00,180237463.00,96.00,62694868.00,837616.00,,27811667.00,378313942.00,243895569.00,149.00,,141.00,58.00,26516005.00,146.00,21453034.00,30180.00,4482348.00,1707213.00,,1
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157.00,88239.00,180617454.00,87.00,139180960.00,1504385.00,396560.00,49060857.00,597513595.00,4016801205.00,215.00,605841.00,162.00,133.00,42675181.00,120.00,253538985.00,72429.00,5409388.00,10517831.00,,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727.00,188142.00,80392612.00,80.00,94699547.00,1222012.00,1237229.00,311252391.00,3281790327.00,140623676.00,123.00,265291.00,4003.00,40.00,2225409.00,88.00,64456799.00,20518.00,33130829.00,3945184.00,,1
Dance Monkey,Dance Monkey,Tones And I,05-10-2019,QZES71982312,40,214.5,3071214106.00,375201.00,64901153.00,71.00,3366447481.00,27240268.00,10342366.00,393814740.00,5861939942.00,2428166573.00,549.00,573733.00,169.00,584.00,5749770.00,121.00,373294159.00,844198.00,37430204.00,44842636.00,,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645.00,10871.00,202626837.00,92.00,11033725.00,251373.00,251200.00,71078500.00,443104700.00,148058631.00,247.00,3400.00,8.00,67.00,11523335.00,125.00,840442.00,2592.00,1369981.00,285858.00,,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,04-08-2023,KRA252300672,42,211.2,170970614.00,27827.00,5784546.00,41.00,22280037.00,334523.00,14348249.00,948225544.00,12196985599.00,,2.00,672.00,,4.00,35737.00,9.00,270610.00,3170.00,,,,1
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,1658229422.00,262248.00,239957538.00,83.00,466080689.00,4324989.00,728093.00,54258768.00,1051836430.00,1425853925.00,285.00,935190.00,2487.00,207.00,6479623.00,168.00,139926990.00,31235.00,8007236.00,10973120.00,,1
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207,1126820069.00,177800.00,85255689.00,82.00,274070101.00,3701289.00,2557115.00,285329503.00,2578518632.00,1205538057.00,163.00,259255.00,96.00,77.00,3413707.00,80.00,28924685.00,14634.00,9505098.00,8681350.00,,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,997702304.00,105927.00,92834002.00,86.00,48093111.00,959175.00,3648759.00,857220853.00,5469808282.00,298259422.00,91.00,36285.00,2676.00,63.00,10874749.00,110.00,6151267.00,9160.00,7980051.00,2682219.00,,0
Please Please Please,Please Please Please,Sabrina Carpenter,06-06-2024,USUM72404101,46,205.7,59314441.00,2572.00,183043096.00,83.00,22374807.00,1026097.00,,188200.00,1200000.00,110446147.00,199.00,2359.00,2.00,73.00,13686074.00,98.00,360163.00,758.00,9883.00,47115.00,,1
Houdini,Houdini - Single,Dua Lipa,11-09-2023,GBAHT2301246,47,205.1,493627071.00,45300.00,87874006.00,80.00,150571504.00,1575378.00,93500.00,35970610.00,386610043.00,3129834452.00,174.00,564640.00,405.00,146.00,28246184.00,127.00,25843941.00,3694.00,1991527.00,2389957.00,,0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,05-02-2024,TCJPA2415647,48,204.4,1655575417.00,9.00,85.00,,,,,,,,,,,,,,,,,,,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,02-10-2023,GBUM72300969,49,203.6,304929492.00,43923.00,46133083.00,69.00,61986821.00,921044.00,13872768.00,390207653.00,5684815935.00,19218089.00,78.00,92638.00,822.00,41.00,3467570.00,36.00,7444354.00,7188.00,,2227494.00,,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203.5,1747093405.00,178114.00,49464650.00,74.00,9537135721.00,61799279.00,799338.00,78304409.00,1143297071.00,569548901.00,179.00,121234.00,116.00,145.00,1977014.00,118.00,266603596.00,2359900.00,,19622551.00,,0
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202.1,168434320.00,17168.00,62516401.00,86.00,53604746.00,1846535.00,,,,174375427.00,65.00,6408.00,77.00,20.00,428378.00,31.00,3156727.00,4843.00,4304870.00,654482.00,,1
Panda Basi,Panda Basi - EP,Mvua,02-10-2023,GX3Q92333626,52,200.3,104271.00,249.00,8585.00,25.00,2457026781.00,,190.00,36666.00,393580.00,,,12.00,,,,,,,,1881.00,,0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198,1391688322.00,163876.00,130963116.00,77.00,902742581.00,8099187.00,599.00,48035.00,2857920.00,750030685.00,316.00,1107265.00,,112.00,11937930.00,146.00,52073859.00,41487.00,5820026.00,3521951.00,,0
Shape of You,Shape of You,Ed Sheeran,01-06-2017,GBAHS1600463,54,195.1,3909458734.00,316378.00,148037882.00,80.00,8013997219.00,45770887.00,2270315.00,194420058.00,2320856331.00,2294804623.00,465.00,402829.00,282.00,512.00,2710931.00,115.00,733565655.00,651557.00,78149375.00,1146246.00,,0
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194.3,55346.00,42.00,16861.00,13.00,2432265978.00,8162101.00,,,,,,53.00,,,,,,,,200.00,,0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194,4281468720.00,590392.00,165544011.00,83.00,833807130.00,10093211.00,2882064.00,337322563.00,3501177394.00,2258085924.00,859.00,1695240.00,1116.00,564.00,11701129.00,184.00,489299762.00,319634.00,28659471.00,28994660.00,,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12-02-2022,USUG12208791,57,192.3,1337619917.00,228295.00,64806723.00,80.00,193982443.00,2023998.00,423714.00,148085419.00,1268862678.00,444033037.00,152.00,952186.00,34.00,58.00,2134791.00,66.00,77382416.00,28694.00,,6205060.00,,1
Dona Felicidade,Dona Felicidade,Patati Patatï¿,06-04-2024,QZNJW2423715,58,190,,2.00,41206.00,,52480069.00,82092.00,,,,,,,,1.00,1657.00,,,,,,,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190,1655575417.00,1.00,3.00,,,,,,,,,,,,,,,,,,,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,1556275789.00,210583.00,95974138.00,74.00,254051906.00,3364206.00,2379787.00,683088623.00,7945975878.00,1524133775.00,203.00,718849.00,117.00,63.00,1616564.00,167.00,111398743.00,71335.00,10424892.00,10192485.00,,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,06-05-2024,ROCMA2413380,61,187.9,,2.00,135.00,9.00,,,,,,,,,,,,,420235997.00,885123.00,,,,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,1384.00,2.00,801.00,,222076.00,5430.00,5013500.00,605320683.00,8811416708.00,,,,,,,,,,,,,0
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,69729033.00,2483.00,21046278.00,81.00,111310770.00,1724693.00,56600.00,61038623.00,393973528.00,32059104.00,40.00,709.00,13.00,7.00,544322.00,14.00,45515.00,100.00,255951.00,63283.00,,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214877,64,184.8,1811990630.00,173358.00,67603671.00,79.00,1516863120.00,8870768.00,4506600.00,549886060.00,6470937272.00,934894575.00,124.00,77120.00,327.00,44.00,14871714.00,63.00,111324744.00,39123.00,,3393920.00,,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,199929812.00,4.00,98.00,,,,,,,,1.00,,,,,,390345308.00,399793.00,,,,1
Calm Down,Calm Down,Rema,02-10-2022,NGA3B2214004,66,180.1,584427088.00,182994.00,19203258.00,68.00,1141904909.00,8766235.00,6129450.00,856216952.00,18216656774.00,2952879912.00,138.00,191634.00,759.00,53.00,3481756.00,45.00,98290873.00,46039.00,14668216.00,22563407.00,,0
CARNIVAL,CARNIVAL,ýý$,02-08-2024,QZ7XS2400012,67,179.6,466887055.00,53842.00,103935623.00,84.00,27688666.00,449112.00,,,,33817299.00,42.00,53333.00,,11.00,199915.00,29.00,1359484.00,11303.00,11703609.00,1982000.00,,1
Kill Bill,SOS,SZA,12-08-2022,USRC12204584,68,177.7,1873746537.00,190202.00,99546318.00,82.00,220538045.00,3153793.00,266430.00,152410048.00,1284413960.00,426461749.00,214.00,655242.00,5448.00,73.00,1304067.00,122.00,57350590.00,61270.00,16992932.00,4873832.00,,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,891720245.00,114560.00,97542546.00,82.00,144741616.00,2761964.00,1443103.00,498822693.00,3998086216.00,1384310160.00,168.00,275119.00,68.00,108.00,10920686.00,111.00,39374594.00,19921.00,5418596.00,4476509.00,,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,03-03-2023,QZA742305720,70,176.2,46567.00,252.00,21930.00,6.00,2038459981.00,6076902.00,,,,,2.00,29.00,,,,,1456.00,,,903.00,,0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175,2996181078.00,486278.00,112416489.00,82.00,1272898075.00,14947520.00,1416295.00,513334446.00,5518429969.00,4899313022.00,459.00,1414326.00,1434.00,170.00,11862378.00,95.00,122247640.00,160431.00,,17848778.00,,0
In the End,Papercuts,Linkin Park,04-12-2024,USWB11201322,72,174.8,2045512421.00,97.00,488602.00,,,,,,,,,,,,,2.00,,,,,,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,01-11-2023,UYB282301031,73,174.3,946941510.00,100130.00,74836321.00,74.00,776436101.00,12951756.00,4210895.00,797017650.00,11936401096.00,457987382.00,110.00,165670.00,180.00,106.00,4971379.00,92.00,48806666.00,10225.00,,2237762.00,,0
The Way We Move - Extended Mix,The Way We Move,PowerDress,03-10-2023,UKACT2330463,74,173.6,7909.00,38.00,15023.00,4.00,1999374091.00,5708577.00,,,,,,59.00,,,,,,,,1412.00,,0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,1010494713.00,127393.00,18652312.00,67.00,3203314695.00,41487213.00,5757883.00,187301054.00,1981431049.00,939714925.00,63.00,49780.00,2195.00,64.00,397418.00,100.00,181784010.00,2022074.00,106880548.00,8856633.00,,0
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,1008495696.00,99381.00,57394938.00,75.00,878892413.00,4425283.00,796603.00,127651887.00,1669065906.00,1522934425.00,101.00,73481.00,225.00,42.00,5734172.00,81.00,55857743.00,15528.00,,2283747.00,,0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168.9,,10230.00,1142937.00,,12489728.00,339414.00,42900000.00,919945708.00,12221514692.00,,,,,,,,5678792.00,,,,,0
Sprinter,Sprinter - Single,Dave,06-01-2023,GBUM72305159,78,168.1,692512930.00,199828.00,55464762.00,78.00,219666692.00,2332307.00,731797.00,130560533.00,1254944697.00,918145630.00,155.00,42082.00,36.00,41.00,1790031.00,76.00,411656.00,3414.00,12405917.00,3093667.00,,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167.8,169410711.00,11028.00,144854768.00,90.00,19402457.00,997411.00,284.00,,,260377114.00,185.00,1008.00,,53.00,20737850.00,59.00,521322.00,698.00,1680434.00,388625.00,,0
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,1024381758.00,78554.00,69319589.00,78.00,1102289596.00,8953293.00,457111.00,15048444.00,248168852.00,1174053183.00,138.00,149584.00,38.00,84.00,8850320.00,131.00,68022934.00,16511.00,164895.00,3488226.00,,1
Perfect,ýý (Deluxe),Ed Sheeran,03-03-2017,GBAHS1700024,81,167.5,2969999682.00,280165.00,116921604.00,81.00,6473698897.00,39632673.00,6642975.00,601244764.00,7647479866.00,1708317539.00,208.00,263386.00,129.00,343.00,1242581.00,102.00,617483078.00,595052.00,,,,0
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,1500499584.00,359502.00,125112486.00,74.00,1431591689.00,11553088.00,2866181.00,290811371.00,4067248819.00,782475986.00,258.00,240677.00,438.00,137.00,4015523.00,102.00,120046948.00,89582.00,6227.00,17210946.00,,1
Peekaboo,Glide - Single,Dave Angel,1/27/2023,GBLTF2300027,83,167.2,8082.00,63.00,32758.00,,2055940513.00,4150967.00,,,,,1.00,13.00,,,,,,,,442.00,,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,1215336974.00,129463.00,39814172.00,74.00,701880622.00,3831236.00,5416.00,550073.00,15373104.00,546259059.00,83.00,40153.00,227.00,24.00,4946338.00,61.00,84378219.00,53890.00,17115523.00,3435177.00,,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166.2,860026452.00,74769.00,139913794.00,80.00,173044031.00,1640319.00,175536.00,90924917.00,1227837850.00,1205266954.00,7.00,759185.00,1100.00,82.00,4067956.00,,64567514.00,22064.00,1843883.00,3199636.00,,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,1032225805.00,94887.00,74469479.00,79.00,920878032.00,3118229.00,1031612.00,116003972.00,2416141351.00,1690231413.00,83.00,57941.00,177.00,42.00,3360878.00,48.00,55410702.00,27415.00,230579.00,2635577.00,,1
redrum,american dream,21 Savage,01-12-2024,USSM12309164,87,164.8,428233003.00,57311.00,144298748.00,,105148629.00,1762297.00,87200.00,6732800.00,43993800.00,977638660.00,74.00,102457.00,56.00,48.00,4037475.00,60.00,16802867.00,11821.00,,2490071.00,,1
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,1720918065.00,209635.00,93875458.00,73.00,1194846205.00,13561925.00,1912194.00,733101955.00,7860224413.00,6353555150.00,325.00,774277.00,1316.00,257.00,5323750.00,100.00,203324731.00,126594.00,,7569155.00,,0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214878,89,163.1,1514239759.00,190692.00,77283361.00,77.00,1366181141.00,9358441.00,1769068.00,475656543.00,5249863696.00,488048337.00,150.00,145640.00,920.00,44.00,5591928.00,108.00,69095169.00,81914.00,,5133847.00,,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,05-12-2023,USQX92302957,90,162,333202114.00,108322.00,41018697.00,68.00,203487345.00,2084532.00,928132.00,63253779.00,748253884.00,735908540.00,148.00,346411.00,146.00,30.00,1277729.00,60.00,90114807.00,46789.00,16620102.00,4207535.00,,1
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,1563224246.00,117005.00,97456780.00,80.00,203259285.00,3482508.00,1302967.00,376660493.00,3864505972.00,724976542.00,261.00,1034319.00,1088.00,74.00,4457357.00,150.00,92338994.00,45974.00,,4703179.00,,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,07-06-2022,UYB282201028,92,161.7,1692951462.00,209490.00,88591675.00,78.00,1132539234.00,8795731.00,1212100.00,196608777.00,2054826154.00,56677146.00,99.00,138254.00,37.00,58.00,5211955.00,65.00,18052815.00,5213.00,4099686.00,6836893.00,,0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161,255076355.00,11500.00,90584540.00,86.00,202206901.00,2596912.00,,57656713.00,506476590.00,273521596.00,67.00,4716.00,137.00,9.00,423666.00,44.00,220481.00,1207.00,556784.00,659825.00,,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158.2,275349653.00,37806.00,22826643.00,70.00,347506860.00,1553295.00,4349700.00,321239621.00,4767676439.00,2676837761.00,19.00,23875.00,96.00,37.00,3780737.00,29.00,5101044.00,5276.00,,1245874.00,,1
La Diabla,La Diabla - Single,Xavi,12-02-2023,USA2P2357356,95,155.9,649404552.00,27544.00,47789063.00,83.00,433839212.00,2750086.00,,414833.00,10603563.00,1795939912.00,29.00,16287.00,462.00,34.00,16509806.00,26.00,22603598.00,29401.00,,1380069.00,,0
