ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,Spotify_pop_category,Release year,Clean_track,Clean_album,Clean_artist
QM24S2402634,445.0,73.1,48720820.0,5049.0,856394.0,402784101.12144524,2930658.9799206164,334771767.6,2962534834.8,62.0,10894.0,2875948.565845851,0.0,Least popular,2024,Million Dollar Baby,Million Dollar Baby - Single,Tommy Richman
USUG11802029,446.0,73.0,1570233605.0,37830.0,10568342.0,2737562687.0,21758603.0,2454022.0,40964161.0,215.0,30855.0,8754118.0,1.0,Well-known,2018,Taki Taki,Taki Taki,DJ Snake
INS182302348,447.0,73.0,334578317.0,18958.0,16311735.0,396928355.0,3264045.0,61182652.1,582866094.7,29.0,1613.0,411911.0,0.0,Well-known,2023,Chaleya,Chaleya,Anirudh Ravichander
QZNMY2232113,448.0,73.0,419016792.0,24878.0,16888060.0,299024405.0,6706233.0,417635777.0,5766443841.0,13.0,15581.0,1878044.0,0.0,Least popular,2022,Dreamers,Dreamers,Jung Kook
USWL12401327,449.0,72.9,118631919.0,11425.0,115304111.0,6595595.0,105964.0,3028980.9,41965437.4,75.0,3903.0,407768.0,1.0,Hot track,2024,ADIVINO,ADIVINO - Single,Myke Towers
BKF5C2400003,450.0,72.8,51390127.0,3010.0,33303786.0,72074397.0,726118.0,18973417.8,191045769.1,18.0,49167.6,174720.0,0.0,Hot track,2024,THE BOX MEDLEY FUNK 2,THE BOX MEDLEY FUNK 2,THE BOX
USUG11901472,451.0,72.8,2188247133.0,121479.0,201964859.0,342388433.0,2291619.0,465904062.0,4967025679.0,273.0,913464.0,3476323.0,0.0,Hot track,2019,Cruel Summer,Lover,Taylor Swift
USUM72402906,452.0,72.7,171242868.0,15.0,78253.0,402784101.12144524,2930658.9799206164,52082851.0,524638703.7,2.0,4.0,519466.90205192135,0.0,Hot track,2024,No Me Queda Ms,Amor Prohibido,Selena
USUM72401623,453.0,72.7,131100973.0,16735.0,42444393.0,4756180.0,146148.0,24904441.6,272708612.5,10.0,1403.0,307226.0,1.0,Hot track,2024,Breathe,2093,Yeat
USSM11703478,454.0,72.6,2065697126.0,275044.0,91691537.0,2173793028.0,11604315.0,68712610.0,631867114.0,191.0,105138.0,7942384.143002799,1.0,Hot track,2017,Unforgettable,EPIC AF,French Montana
USA2P2402101,455.0,72.4,141803939.0,7192.0,20908017.0,139498636.0,1771124.0,12990521.0,80625682.0,20.0,2733.0,190784.0,0.0,Hot track,2024,EASY,EASY,LE SSERAFIM
